Qty,Item,Notes,Cost (GBP),URL
2,HT-RA62 Transceiver Module,Can be replaced with RA-01SH,13.18,https://www.aliexpress.com/item/1005005543917617.html
2,nRF52840 ProMicro,MCU (incl vat+shipping),10.46,https://www.elecrow.com/pro-micro-nrf52840-development-board-compatible-with-nice-nano-v2-0.html
2,"0.96"" OLED Display",,3.64,https://www.aliexpress.com/item/1005008738379315.html
4,Switches,,2.64,https://www.aliexpress.com/item/4001125532910.html
2,GP-02-KIT GPS Module,,6.7,https://www.aliexpress.com/item/1005008346885630.html
2,Slide Switch,For GPS module (5mm),2.74,https://www.aliexpress.com/item/1005007162182882.html
2,868MHz antenna (SMA M),,9.04,https://www.aliexpress.com/item/1005006712636707.html
2,BME280 Module,Telementary data,1.52,https://www.aliexpress.com/item/1005008511564094.html
5,PCB,Min order qty - 5,1.11,JLCPCB
,,,51.03GBP,
,,,68.43USD,
